Time,Node,AC,Link0_Score,Link1_Score,ChosenLink,Switched,L0_Delay,L1_Delay,L0_Jitter,L1_Jitter,L0_Loss,L1_Loss,L0_Tp,L1_Tp
11.4672,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4672,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4673,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4673,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4673,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4674,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4674,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4674,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4675,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4675,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4676,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4676,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4676,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4677,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4677,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4677,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4678,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4678,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4679,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4679,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4679,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.468,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.468,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.468,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4681,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4681,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4682,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4682,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4683,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4683,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4683,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4683,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4684,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4684,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4685,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4685,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4686,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4686,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4686,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4687,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4687,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4687,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4688,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4688,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4689,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4689,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4689,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.469,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.469,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.469,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4691,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4691,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4692,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4692,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4693,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4693,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4693,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4693,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4694,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4694,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4695,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4695,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4696,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4696,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4696,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4697,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4697,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4697,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4698,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4698,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4699,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4699,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4699,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.47,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.47,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.47,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4701,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4701,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4702,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4702,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4703,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4703,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4703,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4703,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4704,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4704,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4705,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4705,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4706,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4706,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4706,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4707,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4707,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4707,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4708,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4708,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4709,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4709,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4709,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.471,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.471,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
